15 14.6
2015-12-31 20:29:56 14.661
2015-12-31 20:29:57 14.661
2015-12-31 20:29:59 14.610
14 15.0
2015-12-31 20:30:04 14.933
2015-12-31 20:30:07 14.951
2015-12-31 20:30:08 14.944
2015-12-31 20:30:10 14.984
13 15.3
2015-12-31 20:30:16 15.274
2015-12-31 20:30:18 15.281
2015-12-31 20:30:19 15.286
12 15.6
2015-12-31 20:30:25 15.605
2015-12-31 20:30:26 15.591
2015-12-31 20:30:29 15.618
11 15.9
2015-12-31 20:30:36 15.880
2015-12-31 20:30:37 15.884
2015-12-31 20:30:40 15.885
10 16.1
2015-12-31 20:30:44 15.965
2015-12-31 20:30:47 16.077
2015-12-31 20:30:48 16.105
2015-12-31 20:30:50 16.115
9 16.3
2015-12-31 20:30:55 16.285
2015-12-31 20:30:58 16.291
2015-12-31 20:30:59 16.290
8 16.5
2015-12-31 20:31:05 16.508
2015-12-31 20:31:07 16.526
2015-12-31 20:31:09 16.533
7 16.7
2015-12-31 20:31:15 16.734
2015-12-31 20:31:17 16.737
2015-12-31 20:31:18 16.755
2015-12-31 20:31:20 16.746
6 16.9
2015-12-31 20:31:26 16.898
2015-12-31 20:31:28 16.899
2015-12-31 20:31:29 16.898
5 17.0
2015-12-31 20:31:35 16.965
2015-12-31 20:31:36 16.965
2015-12-31 20:31:38 16.955
4 17.2
2015-12-31 20:31:46 17.186
2015-12-31 20:31:47 17.187
2015-12-31 20:31:49 17.187
3 17.2
2015-12-31 20:31:57 17.202
2015-12-31 20:31:58 17.218
2015-12-31 20:32:00 17.231
2 17.2
2015-12-31 20:32:05 17.238
2015-12-31 20:32:07 17.239
2015-12-31 20:32:08 17.245
1 17.3
2015-12-31 20:32:16 17.279
2015-12-31 20:32:18 17.285
2015-12-31 20:32:19 17.287
0 17.4
2015-12-31 20:32:25 17.410
2015-12-31 20:32:27 17.424
2015-12-31 20:32:29 17.423
2015-12-31 20:32:30 17.427
RX 13.7 
2015-12-31 20:32:36 13.710
2015-12-31 20:32:38 13.713
2015-12-31 20:32:40 13.713
15 11.8
2015-12-31 20:32:49 11.830
2015-12-31 20:32:52 11.806
2015-12-31 20:32:53 11.814
14 12.1
2015-12-31 20:32:59 12.116
2015-12-31 20:33:01 12.127
2015-12-31 20:33:03 12.138
2015-12-31 20:33:04 12.137
13 12.5
2015-12-31 20:33:10 12.456
2015-12-31 20:33:12 12.466
2015-12-31 20:33:14 12.461
12 12.8
2015-12-31 20:33:20 12.752
2015-12-31 20:33:22 12.763
2015-12-31 20:33:23 12.754
11 13.1
2015-12-31 20:33:29 13.085
2015-12-31 20:33:32 13.108
2015-12-31 20:33:33 13.128
10 13.4
2015-12-31 20:33:39 13.418
2015-12-31 20:33:40 13.438
2015-12-31 20:33:43 13.432
2015-12-31 20:33:44 13.445
9 13.7
2015-12-31 20:33:50 13.611
2015-12-31 20:33:51 13.662
2015-12-31 20:33:54 13.702
8 13.8
2015-12-31 20:33:59 13.794
2015-12-31 20:34:01 13.777
2015-12-31 20:34:02 13.744
7 13.9
2015-12-31 20:34:10 13.917
2015-12-31 20:34:12 13.916
2015-12-31 20:34:14 13.915
6 14.0
2015-12-31 20:34:19 14.053
2015-12-31 20:34:21 14.061
2015-12-31 20:34:23 14.041
5 14.2
2015-12-31 20:34:31 14.165
2015-12-31 20:34:32 14.184
2015-12-31 20:34:34 14.189
4 14.3
2015-12-31 20:34:39 14.305
2015-12-31 20:34:41 14.346
2015-12-31 20:34:42 14.361
3 14.5
2015-12-31 20:34:49 14.526
2015-12-31 20:34:51 14.537
2015-12-31 20:34:53 14.537
2 14.6
2015-12-31 20:34:59 14.614
2015-12-31 20:35:00 14.616
2015-12-31 20:35:02 14.603
2015-12-31 20:35:03 14.641
1 14.6
2015-12-31 20:35:09 14.625
2015-12-31 20:35:10 14.631
2015-12-31 20:35:13 14.581
2015-12-31 20:35:14 14.575
0 14.5
2015-12-31 20:35:19 14.538
2015-12-31 20:35:20 14.544
2015-12-31 20:35:22 14.514
2015-12-31 20:35:23 14.513
RX 7.3
2015-12-31 20:35:29 7.260
2015-12-31 20:35:30 7.272
2015-12-31 20:35:32 7.259
2015-12-31 20:35:33 7.255

IDLE 0
2015-12-31 20:35:36 0.000
2015-12-31 20:35:37 0.000
2015-12-31 20:35:39 0.000
2015-12-31 20:35:41 0.000
